"uri","sha256"
"https://github.com/yuzi-co/miners/releases/download/2019.02/ccminermtp-1.1.15.7z","04591D59D6008067E3A5A93CF30791466277CA9343B2C39CEF9127AF06F43C0C"
"https://github.com/sp-hash/suprminer/releases/download/spmod-git13/spmodgit13.zip","75E96474A542BBD1AEA02CB45CE589C9B66093E2DDA5969512855E840DAD42CA"
"https://github.com/nemosminer/ccminer-xevan/releases/download/ccminer-xevan/ccminer_x86.7z","FED1545BC5892BA4C06CB277A7DF92FB6E2F8F3A79574061BDF538186B38E914"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.16.0/CryptoDredge_0.16.0_cuda_10.0_windows.zip","2E0EC3A24EF90CC2FA82B3435972C2EB26011E23A674E727AAE62A5480167D85"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.16.0/CryptoDredge_0.16.0_cuda_9.2_windows.zip","4CC926B31C704BA74AFEE81375020214CE890F098A7289C47C4D3B158488B1A3"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.16.0/CryptoDredge_0.16.0_cuda_9.1_windows.zip","F97806CED35275147F87E659F5D2AC7318C05F3705BF187A7602490F3588D1CE"
"https://github.com/ethereum-mining/ethminer/releases/download/v0.18.0/ethminer-0.18.0-cuda9.1-windows-amd64.zip","01AEC9FA9EC80872F46D2D65FEE36464908D2103D21215F341E2A2B7DC6F69EB"
"https://github.com/ethereum-mining/ethminer/releases/download/v0.18.0/ethminer-0.18.0-cuda8.0-windows-amd64.zip","9D366C747D4FA02678A9D04384D35463444AC6827A528C96DC85DC36FB5E2CBE"
"https://github.com/yuzi-co/miners/releases/download/2018.10/EWBF.Equihash.miner.v0.6.7z","A4366042AC9E45F32DC3FCD65CF6188D8C30CE284BD1415BCDB4231FBB6B25FB"
"https://github.com/turtlecoin/ninjarig/releases/download/v1.0.3/ninjarig_v1.0.3_08.09.2019_windows_10.zip","42471C000FD0D9923781482DB9A03BB8E6D625719F16ADD86C1301AF9A2C2CD8"
"https://www.bminercontent.com/releases/bminer-v16.2.0-d0b21b5-amd64.tar.xz","FA53EE36E8F8091CE970D82E0DB11DB1E561753E7612E872486482A60E9ACA17"
"https://github.com/glph3k/cast_xmr/releases/download/v171/cast_xmr-vega-ubuntu_171.tar.gz","D52E903E47C1703571DC198AF7F469F0B4C5D5D3489D49768033ED27DA539E4C"
